NBHDNo,NBHDName,TSNS 2020 Designation,Median total income of private household in 2020 ($),Median total income of economic family in 2020 ($),Participation rate,Employment rate,Unemployment rate,"No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree (%)",No_of_Branches,No_of_Workstations,No_of_Programs,visits_2015,visits_2016,visits_2017,visits_2018,visits_2019,reg_2015,reg_2016,reg_2017,reg_2018,reg_2019,circ_2015,circ_2016,circ_2017,circ_2018,circ_2019,wrkstn_use_2015,wrkstn_use_2016,wrkstn_use_2017,wrkstn_use_2018,wrkstn_use_2019
071,Cabbagetown-South St. James Town,Not an NIA or Emerging Neighbourhood,76500,124000,67.8,59.0,12.9,7.21,19.66,73.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
072,Regent Park,Neighbourhood Improvement Area,65500,84000,61.9,51.0,17.3,15.03,25.07,59.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
073,Moss Park,Not an NIA or Emerging Neighbourhood,65000,105000,72.3,61.7,14.6,9.61,18.32,72.04,1,12,2,245031,238566,227666,225922,225922,1564,1540,1680,2071,1102,240075,226487,203705,191193,101464,68269,69344,66423,62072,28959
074,North St. James Town,Not an NIA or Emerging Neighbourhood,59200,79500,66.8,55.2,17.5,11.91,22.85,65.21,1,19,1,177063,174275,169242,157596,157596,1427,1588,1659,2137,2297,258692,253579,223251,221964,248646,57375,56575,58200,51621,58962
078,Kensington-Chinatown,Not an NIA or Emerging Neighbourhood,62000,90000,62.7,51.6,17.7,14.55,23.35,62.07,2,48,5,568555,565492,548300,550373,550373,4292,4391,4445,5603,5520,628295,599831,545969,500640,444434,243947,228559,178316,161255,144993
079,University,Not an NIA or Emerging Neighbourhood,80000,126000,69.1,58.6,15.3,7.85,17.81,74.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080,Palmerston-Little Italy,Not an NIA or Emerging Neighbourhood,88000,133000,71.7,63.6,11.2,12.45,18.53,69.01,1,7,0,123950,103681,103458,101932,101932,949,1037,1115,1203,1462,194055,190775,189415,182356,189401,21188,21813,20363,21914,21432
081,Trinity-Bellwoods,Not an NIA or Emerging Neighbourhood,92000,116000,68.8,60.0,12.7,19.84,20.02,60.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
083,Dufferin Grove,Not an NIA or Emerging Neighbourhood,78000,108000,70.3,60.2,14.4,17.95,18.85,63.15,1,36,2,362150,364124,360508,369395,369395,3111,3076,3267,3787,4130,446446,410988,388365,369252,372794,179859,168193,171813,128177,119884
084,Little Portugal,Not an NIA or Emerging Neighbourhood,86000,117000,75.9,66.3,12.7,14.87,19.06,66.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
085,South Parkdale,Neighbourhood Improvement Area,57200,84000,69.0,57.0,17.3,14.67,25.57,59.78,1,24,2,430586,352888,337974,333245,333245,1960,1909,2129,2802,2068,385299,382060,357701,324230,204819,127130,125610,122844,103625,53495
086,Roncesvalles,Not an NIA or Emerging Neighbourhood,88000,133000,70.6,62.6,11.3,13.54,19.26,67.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
087,High Park-Swansea,Not an NIA or Emerging Neighbourhood,101000,147000,70.2,62.4,11.2,7.55,17.07,75.41,2,12,0,203776,225488,242481,221359,221359,1285,1367,1488,1649,2007,374653,375213,385719,342346,380049,46075,41850,47438,33839,35994
