NBHDNo,NBHDName,Year,No_of_Visits,No_of_Registrations,Count_of_Circulation,No_of_Sessions
130,Milliken,2016,178752.0,818,249112,45802
130,Milliken,2017,175028.0,856,226852,39670
130,Milliken,2018,164412.0,942,202870,30554
130,Milliken,2019,153844.0,851,194589,28864
133,Centennial Scarborough,2015,107850.0,843,227324,16450
133,Centennial Scarborough,2016,98121.0,737,222051,16613
133,Centennial Scarborough,2017,86237.0,849,203226,12475
133,Centennial Scarborough,2018,84874.0,1144,202041,10086
133,Centennial Scarborough,2019,82062.0,1076,200031,8556
134,Highland Creek,2015,69713.0,702,179144,21838
134,Highland Creek,2016,63785.0,645,165053,19238
134,Highland Creek,2017,60785.0,757,155735,19175
134,Highland Creek,2018,57664.0,1016,145360,16657
134,Highland Creek,2019,56329.0,1116,135525,15568
136,West Hill,2015,91163.0,1005,183685,42363
136,West Hill,2016,101804.0,1168,177218,41988
136,West Hill,2017,100674.0,1059,161130,39488
136,West Hill,2018,102939.0,1573,152677,30116
136,West Hill,2019,109795.0,1528,156566,29277
140,Guildwood,2015,45763.0,389,121419,12600
140,Guildwood,2016,59634.0,357,119074,12000
140,Guildwood,2017,62890.0,348,114626,11088
140,Guildwood,2018,57017.0,477,97265,9772
140,Guildwood,2019,26595.0,342,47291,3327
141,Golfdale-Cedarbrae-Woburn,2015,352780.0,3824,522254,243984
141,Golfdale-Cedarbrae-Woburn,2016,363118.0,3861,485383,249984
141,Golfdale-Cedarbrae-Woburn,2017,384227.0,3831,430830,197151
141,Golfdale-Cedarbrae-Woburn,2018,355089.0,4913,394326,133544
141,Golfdale-Cedarbrae-Woburn,2019,355086.0,4849,374943,124808
146,Malvern East,2015,461933.0,2985,582785,198770
146,Malvern East,2016,440745.0,3206,530415,192019
146,Malvern East,2017,416564.0,3251,475500,179488
146,Malvern East,2018,376857.0,4450,436077,100183
146,Malvern East,2019,360342.0,4462,414877,96947
147,L'Amoreaux West,2015,380100.0,1729,449199,41463
147,L'Amoreaux West,2016,423004.0,1965,420243,40138
147,L'Amoreaux West,2017,429296.0,2045,385501,43341
147,L'Amoreaux West,2018,434621.0,2908,419149,51202
147,L'Amoreaux West,2019,404356.0,2625,346131,47541
150,Fenside-Parkwoods,2015,75938.0,753,179265,19700
150,Fenside-Parkwoods,2016,71442.0,770,166907,19713
150,Fenside-Parkwoods,2017,73732.0,792,161391,16113
150,Fenside-Parkwoods,2018,73308.0,1233,156836,16333
150,Fenside-Parkwoods,2019,77106.0,1597,151891,16706
154,Oakdale-Beverley Heights,2015,89425.0,1109,109587,24413
154,Oakdale-Beverley Heights,2016,107969.0,1082,103621,21763
154,Oakdale-Beverley Heights,2017,102627.0,1210,97368,19913
154,Oakdale-Beverley Heights,2018,98278.0,1688,86179,24989
154,Oakdale-Beverley Heights,2019,107777.0,2389,79871,25777
155,Downsview,2015,174447.0,1669,224968,109770
155,Downsview,2016,206115.0,1549,210675,113701
155,Downsview,2017,230231.0,1927,201514,99707
155,Downsview,2018,231580.0,2468,185960,72517
155,Downsview,2019,139493.0,1796,122726,43740
156,Bendale-Glen Andrew,2015,83038.0,2242,149189,27325
156,Bendale-Glen Andrew,2016,175181.0,2173,179190,52375
156,Bendale-Glen Andrew,2017,193914.0,2449,179314,63474
156,Bendale-Glen Andrew,2018,191703.0,2686,172722,45256
156,Bendale-Glen Andrew,2019,197245.0,2836,172072,43849
157,Bendale South,2015,65550.0,707,147119,21100
157,Bendale South,2016,57910.0,686,141482,18088
157,Bendale South,2017,50632.0,709,123592,18675
157,Bendale South,2018,51489.0,1055,122497,14323
157,Bendale South,2019,48541.0,909,114383,13281
158,Islington,2015,226512.0,2693,517719,46633
158,Islington,2016,239521.0,2849,508926,45770
158,Islington,2017,238477.0,2754,501624,43683
158,Islington,2018,232419.0,3085,463951,41801
158,Islington,2019,225560.0,3621,441050,38638
160,Mimico-Queensway,2015,94488.0,846,185421,21475
160,Mimico-Queensway,2016,99232.0,898,187470,23175
160,Mimico-Queensway,2017,92721.0,954,178966,24663
160,Mimico-Queensway,2018,91352.0,1056,172926,15725
160,Mimico-Queensway,2019,85449.0,1129,167353,12713
165,Harbourfront-CityPlace,2015,180200.0,3732,219431,49513
165,Harbourfront-CityPlace,2016,179705.0,3485,222008,48088
165,Harbourfront-CityPlace,2017,169371.0,3661,221413,47162
165,Harbourfront-CityPlace,2018,190668.0,4097,227453,37264
165,Harbourfront-CityPlace,2019,196094.0,4769,230898,38890
166,St Lawrence-East Bayfront-The Islands,2015,103806.0,1278,192194,22051
166,St Lawrence-East Bayfront-The Islands,2016,115189.0,1415,221478,23779
166,St Lawrence-East Bayfront-The Islands,2017,118778.0,1769,215415,23888
166,St Lawrence-East Bayfront-The Islands,2018,117556.0,2140,216375,24264
166,St Lawrence-East Bayfront-The Islands,2019,133158.0,2550,220519,27347
170,Yonge-Bay Corridor,2015,197250.0,1934,342516,29788
170,Yonge-Bay Corridor,2016,198786.0,2655,337178,30938
170,Yonge-Bay Corridor,2017,195475.0,2504,299464,33700
170,Yonge-Bay Corridor,2018,197005.0,3182,273173,50205
170,Yonge-Bay Corridor,2019,202935.0,3798,270410,47505
171,Junction-Wallace Emerson,2015,34938.0,245,91381,8113
171,Junction-Wallace Emerson,2016,46514.0,290,94035,7863
171,Junction-Wallace Emerson,2017,53451.0,376,92619,8425
171,Junction-Wallace Emerson,2018,55219.0,574,94768,5775
171,Junction-Wallace Emerson,2019,52157.0,548,97542,5480
091,Weston-Pelham Park,2018,0.0,6,4239,0
096,Casa Loma,2019,0.0,17,14190,0
