NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits,Registrations,Circulation,Sessions
160,Mimico-Queensway,MI,Mimico Centennial,2014,94434.0,834,169427,22058.0
099,Mount Pleasant East,MP,Mount Pleasant,2014,63575.0,556,152317,5613.0
119,Wexford-Maryvale,MRV,Maryvale,2014,151875.0,1149,239917,30650.0
136,West Hill,MS,Morningside,2014,124575.0,1152,189655,41363.0
100,Yonge-Eglinton,ND,Northern District,2014,299729.0,2553,464453,106577.0
001,West Humber-Clairville,NE,Northern Elms,2014,34300.0,383,89817,12938.0
018,New Toronto,NT,New Toronto,2014,91293.0,527,127543,23049.0
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2014,86450.0,606,132051,36975.0
069,Blake-Jones,PA,Pape/Danforth,2014,239357.0,1674,424425,71899.0
171,Junction-Wallace Emerson,PE,Perth/Dupont,2014,43838.0,282,91155,10063.0
085,South Parkdale,PK,Parkdale,2014,348589.0,2014,372542,133343.0
073,Moss Park,PL,Parliament Street,2014,198530.0,1561,238983,68339.0
095,Annex,PM,Palmerston,2014,109425.0,816,218377,19988.0
133,Centennial Scarborough,PU,Port Union,2014,117025.0,842,231040,18088.0
046,Pleasant View,PV,Pleasant View,2014,100388.0,701,238752,22738.0
070,South Riverdale,QS,Queen/Saulter,2014,65850.0,473,115853,11150.0
068,North Riverdale,RD,Riverdale,2014,203900.0,962,306181,74888.0
007,Willowridge-Martingrove-Richview,RI,Richview,2014,553673.0,2549,599169,120461.0
088,High Park North,RN,Runnymede,2014,364788.0,1823,448648,68213.0
004,Rexdale-Kipling,RX,Rexdale,2014,51613.0,406,80646,18875.0
078,Kensington-Chinatown,SA,Sanderson,2014,268350.0,1254,264573,66100.0
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2014,31188.0,319,58719,14225.0
074,North St. James Town,SJ,St. James Town,2014,182788.0,1594,281753,65038.0
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2014,110738.0,1275,219081,25688.0
095,Annex,SP,Spadina Road,2014,78683.0,638,161094,13242.0
116,Steeles,ST,Steeles,2014,145800.0,826,225130,27963.0
087,High Park-Swansea,SW,Swansea Memorial,2014,17575.0,81,44895,2488.0
059,Danforth Village - East York,SWS,S. Walter Stewart,2014,254470.0,1415,425361,137354.0
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2014,36263.0,453,133291,14925.0
055,Thorncliffe Park,TH,Thorncliffe,2014,194913.0,1612,204845,89775.0
058,Old East York,TOD,Todmorden Room,2014,25938.0,197,56161,6225.0
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2014,1247697.0,11308,386528,776844.0
043,Victoria Village,VV,Victoria Village,2014,37750.0,394,104944,14638.0
113,Weston,WE,Weston,2014,94875.0,809,137135,40363.0
022,Humbermede,WP,Woodview Park,2014,37725.0,495,79759,19200.0
129,Agincourt North,WS,Woodside Square,2014,439963.0,2149,457886,104775.0
096,Casa Loma,WY,Wychwood,2014,105900.0,943,208312,37747.0
095,Annex,YO,Yorkville,2014,177013.0,1011,324428,32850.0
025,Glenfield-Jane Heights,YW,York Woods,2014,225983.0,2874,290231,185228.0
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2015,194587.0,4272,353764,142187.0
120,Clairlea-Birchmount,ACD,Albert Campbell,2015,277118.0,1448,380452,145984.0
020,Alderwood,AD,Alderwood,2015,101250.0,519,169022,16700.0
118,Tam O'Shanter-Sullivan,AG,Agincourt,2015,397421.0,2919,843672,158536.0
039,Bedford Park-Nortown,AH,Armour Heights,2015,67038.0,545,198247,11013.0
090,Junction Area,AN,Annette Street,2015,117375.0,915,221150,34038.0
030,Brookhaven-Amesbury,AP,Amesbury Park,2015,51313.0,709,120983,16300.0
150,Fenside-Parkwoods,BB,Brookbanks,2015,75938.0,753,179265,19700.0
154,Oakdale-Beverley Heights,BC,Black Creek,2015,89425.0,1109,109587,24413.0
157,Bendale South,BD,Bendale,2015,65550.0,707,147119,21100.0
063,The Beaches,BE,Beaches,2015,185450.0,1546,356357,48525.0
032,Englemount-Lawrence,BF,Barbara Frum,2015,264647.0,2119,583455,131127.0
083,Dufferin Grove,BL,Bloor/Gladstone,2015,362150.0,3111,446446,179859.0
015,Kingsway South,BR,Brentwood,2015,232857.0,1725,411129,84937.0
147,L'Amoreaux West,BRW,Bridlewood,2015,380100.0,1729,449199,41463.0
146,Malvern East,BUR,Burrows Hall,2015,99100.0,766,178652,28463.0
123,Cliffcrest,CC,Cliffcrest,2015,79300.0,659,173302,18638.0
035,Westminster-Branson,CE,Centennial,2015,118613.0,1756,291551,27188.0
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2015,352780.0,3824,522254,243984.0
170,Yonge-Bay Corridor,CH,City Hall,2015,197250.0,1934,342516,29788.0
037,Willowdale West,CL,North York Central Library,2015,1538044.0,13064,1571479,477283.0
080,Palmerston-Little Italy,CS,College/Shaw,2015,123950.0,949,194055,21188.0
064,Woodbine Corridor,DA,Danforth/Coxwell,2015,158113.0,1080,296571,37125.0
042,Banbury-Don Mills,DM,Don Mills,2015,267097.0,2152,627900,86525.0
155,Downsview,DO,Downsview,2015,174447.0,1669,224968,109770.0
098,Rosedale-Moore Park,DP,Deer Park,2015,247425.0,1790,421451,60138.0
054,O'Connor-Parkview,DR,Dawes Road,2015,114925.0,1305,205651,43475.0
094,Wychwood,DT,Davenport,2015,39975.0,242,126743,6688.0
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2015,105000.0,814,151261,54700.0
158,Islington,EA,Eatonville,2015,226512.0,2693,517719,46633.0
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2015,45000.0,398,158219,6850.0
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2015,52900.0,524,81207,34325.0
052,Bayview Village,EN,Ethennonnhawahstihnen',2015,171555.0,1854,374989,19505.0
