NBHDNo,NBHDName,BranchCode,BranchName,Year,Visits
001,West Humber-Clairville,HW,Humberwood,2014,161325
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2014,158938
070,South Riverdale,JO,Jones,2014,80275
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2014,94250
125,Ionview,KE,Kennedy/Eglinton,2014,106838
019,Long Branch,LB,Long Branch,2014,55625
056,Leaside-Bennington,LE,Leaside,2014,144900
103,Lawrence Park South,LO,Locke,2014,179275
078,Kensington-Chinatown,LS,Lillian H. Smith,2014,352151
062,East End-Danforth,MA,Main Street,2014,123450
146,Malvern East,MAL,Malvern,2014,347883
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2014,197358
126,Dorset Park,MCG,McGregor Park,2014,123663
115,Mount Dennis,MD,Mount Dennis,2014,82625
160,Mimico-Queensway,MI,Mimico Centennial,2014,94434
099,Mount Pleasant East,MP,Mount Pleasant,2014,63575
119,Wexford-Maryvale,MRV,Maryvale,2014,151875
136,West Hill,MS,Morningside,2014,124575
100,Yonge-Eglinton,ND,Northern District,2014,299729
001,West Humber-Clairville,NE,Northern Elms,2014,34300
018,New Toronto,NT,New Toronto,2014,91293
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2014,86450
069,Blake-Jones,PA,Pape/Danforth,2014,239357
171,Junction-Wallace Emerson,PE,Perth/Dupont,2014,43838
085,South Parkdale,PK,Parkdale,2014,348589
073,Moss Park,PL,Parliament Street,2014,198530
095,Annex,PM,Palmerston,2014,109425
133,Centennial Scarborough,PU,Port Union,2014,117025
046,Pleasant View,PV,Pleasant View,2014,100388
070,South Riverdale,QS,Queen/Saulter,2014,65850
068,North Riverdale,RD,Riverdale,2014,203900
007,Willowridge-Martingrove-Richview,RI,Richview,2014,553673
088,High Park North,RN,Runnymede,2014,364788
004,Rexdale-Kipling,RX,Rexdale,2014,51613
078,Kensington-Chinatown,SA,Sanderson,2014,268350
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2014,31188
074,North St. James Town,SJ,St. James Town,2014,182788
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2014,110738
095,Annex,SP,Spadina Road,2014,78683
116,Steeles,ST,Steeles,2014,145800
087,High Park-Swansea,SW,Swansea Memorial,2014,17575
059,Danforth Village - East York,SWS,S. Walter Stewart,2014,254470
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2014,36263
055,Thorncliffe Park,TH,Thorncliffe,2014,194913
058,Old East York,TOD,Todmorden Room,2014,25938
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2014,1247697
