NBHDNo,NBHDName,BranchCode,BranchName,Year,Registrations
087,High Park-Swansea,SW,Swansea Memorial,2015,85
059,Danforth Village - East York,SWS,S. Walter Stewart,2015,1239
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2015,421
055,Thorncliffe Park,TH,Thorncliffe,2015,1507
058,Old East York,TOD,Todmorden Room,2015,170
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2015,11617
043,Victoria Village,VV,Victoria Village,2015,465
113,Weston,WE,Weston,2015,979
022,Humbermede,WP,Woodview Park,2015,426
129,Agincourt North,WS,Woodside Square,2015,2005
096,Casa Loma,WY,Wychwood,2015,1032
095,Annex,YO,Yorkville,2015,1012
025,Glenfield-Jane Heights,YW,York Woods,2015,2452
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2016,4474
120,Clairlea-Birchmount,ACD,Albert Campbell,2016,1592
020,Alderwood,AD,Alderwood,2016,526
118,Tam O'Shanter-Sullivan,AG,Agincourt,2016,2318
039,Bedford Park-Nortown,AH,Armour Heights,2016,567
090,Junction Area,AN,Annette Street,2016,1058
030,Brookhaven-Amesbury,AP,Amesbury Park,2016,796
150,Fenside-Parkwoods,BB,Brookbanks,2016,770
154,Oakdale-Beverley Heights,BC,Black Creek,2016,1082
157,Bendale South,BD,Bendale,2016,686
063,The Beaches,BE,Beaches,2016,1634
032,Englemount-Lawrence,BF,Barbara Frum,2016,2022
083,Dufferin Grove,BL,Bloor/Gladstone,2016,3076
015,Kingsway South,BR,Brentwood,2016,1950
147,L'Amoreaux West,BRW,Bridlewood,2016,1965
146,Malvern East,BUR,Burrows Hall,2016,802
123,Cliffcrest,CC,Cliffcrest,2016,789
035,Westminster-Branson,CE,Centennial,2016,1614
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2016,3861
170,Yonge-Bay Corridor,CH,City Hall,2016,2655
037,Willowdale West,CL,North York Central Library,2016,12204
080,Palmerston-Little Italy,CS,College/Shaw,2016,1037
064,Woodbine Corridor,DA,Danforth/Coxwell,2016,1078
042,Banbury-Don Mills,DM,Don Mills,2016,2062
155,Downsview,DO,Downsview,2016,1549
098,Rosedale-Moore Park,DP,Deer Park,2016,1798
054,O'Connor-Parkview,DR,Dawes Road,2016,1269
094,Wychwood,DT,Davenport,2016,280
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2016,834
158,Islington,EA,Eatonville,2016,2849
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2016,411
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2016,548
052,Bayview Village,EN,Ethennonnhawahstihnen',2016,1924
120,Clairlea-Birchmount,ES,Eglinton Square,2016,719
102,Forest Hill North,FH,Forest Hill,2016,866
165,Harbourfront-CityPlace,FO,Fort York,2016,3485
044,Flemingdon Park,FP,Flemingdon Park,2016,1065
047,Don Valley Village,FV,Fairview,2016,5805
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2016,634
130,Milliken,GHP,Goldhawk Park,2016,818
140,Guildwood,GW,Guildwood,2016,357
016,Stonegate-Queensway,HB,Humber Bay,2016,691
134,Highland Creek,HC,Highland Creek,2016,645
048,Hillcrest Village,HIL,Hillcrest,2016,777
087,High Park-Swansea,HP,High Park,2016,1275
021,Humber Summit,HS,Humber Summit,2016,449
001,West Humber-Clairville,HW,Humberwood,2016,611
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2016,1211
070,South Riverdale,JO,Jones,2016,793
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2016,1042
125,Ionview,KE,Kennedy/Eglinton,2016,1337
019,Long Branch,LB,Long Branch,2016,763
056,Leaside-Bennington,LE,Leaside,2016,1185
103,Lawrence Park South,LO,Locke,2016,1503
078,Kensington-Chinatown,LS,Lillian H. Smith,2016,3222
062,East End-Danforth,MA,Main Street,2016,960
146,Malvern East,MAL,Malvern,2016,2404
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2016,1818
126,Dorset Park,MCG,McGregor Park,2016,1259
115,Mount Dennis,MD,Mount Dennis,2016,804
160,Mimico-Queensway,MI,Mimico Centennial,2016,898
099,Mount Pleasant East,MP,Mount Pleasant,2016,656
119,Wexford-Maryvale,MRV,Maryvale,2016,1266
136,West Hill,MS,Morningside,2016,1168
100,Yonge-Eglinton,ND,Northern District,2016,3050
