NBHDNo,NBHDName,BranchCode,BranchName,Year,Circulation
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2016,79388
052,Bayview Village,EN,Ethennonnhawahstihnen',2016,413869
120,Clairlea-Birchmount,ES,Eglinton Square,2016,127466
102,Forest Hill North,FH,Forest Hill,2016,200010
165,Harbourfront-CityPlace,FO,Fort York,2016,222008
044,Flemingdon Park,FP,Flemingdon Park,2016,140186
047,Don Valley Village,FV,Fairview,2016,751914
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2016,187874
130,Milliken,GHP,Goldhawk Park,2016,249112
140,Guildwood,GW,Guildwood,2016,119074
016,Stonegate-Queensway,HB,Humber Bay,2016,174152
134,Highland Creek,HC,Highland Creek,2016,165053
048,Hillcrest Village,HIL,Hillcrest,2016,316962
087,High Park-Swansea,HP,High Park,2016,332131
021,Humber Summit,HS,Humber Summit,2016,69845
001,West Humber-Clairville,HW,Humberwood,2016,71346
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2016,278761
070,South Riverdale,JO,Jones,2016,181351
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2016,104672
125,Ionview,KE,Kennedy/Eglinton,2016,172424
019,Long Branch,LB,Long Branch,2016,143304
056,Leaside-Bennington,LE,Leaside,2016,366723
103,Lawrence Park South,LO,Locke,2016,339256
078,Kensington-Chinatown,LS,Lillian H. Smith,2016,387051
062,East End-Danforth,MA,Main Street,2016,263340
146,Malvern East,MAL,Malvern,2016,374677
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2016,230554
126,Dorset Park,MCG,McGregor Park,2016,196526
115,Mount Dennis,MD,Mount Dennis,2016,106395
160,Mimico-Queensway,MI,Mimico Centennial,2016,187470
099,Mount Pleasant East,MP,Mount Pleasant,2016,161406
119,Wexford-Maryvale,MRV,Maryvale,2016,207891
136,West Hill,MS,Morningside,2016,177218
100,Yonge-Eglinton,ND,Northern District,2016,458418
001,West Humber-Clairville,NE,Northern Elms,2016,80537
018,New Toronto,NT,New Toronto,2016,131787
107,Oakwood-Vaughan,OV,Oakwood Village Library and Arts Centre,2016,123968
069,Blake-Jones,PA,Pape/Danforth,2016,419428
171,Junction-Wallace Emerson,PE,Perth/Dupont,2016,94035
085,South Parkdale,PK,Parkdale,2016,382060
073,Moss Park,PL,Parliament Street,2016,226487
095,Annex,PM,Palmerston,2016,218096
133,Centennial Scarborough,PU,Port Union,2016,222051
046,Pleasant View,PV,Pleasant View,2016,209857
070,South Riverdale,QS,Queen/Saulter,2016,121496
068,North Riverdale,RD,Riverdale,2016,265073
007,Willowridge-Martingrove-Richview,RI,Richview,2016,635613
088,High Park North,RN,Runnymede,2016,465511
004,Rexdale-Kipling,RX,Rexdale,2016,76880
078,Kensington-Chinatown,SA,Sanderson,2016,212780
156,Bendale -Glen Andrew,SC,Scarborough Civic Centre,2016,179190
091,Weston-Pellam Park,SI,St. Clair/Silverthorn,2016,57530
074,North St. James Town,SJ,St. James Town,2016,253579
166,St Lawrence-East Bayfront-The Islands,SL,St. Lawrence,2016,221478
095,Annex,SP,Spadina Road,2016,187784
116,Steeles,ST,Steeles,2016,256926
087,High Park-Swansea,SW,Swansea Memorial,2016,43082
059,Danforth Village - East York,SWS,S. Walter Stewart,2016,406483
122,Birchcliffe-Cliffside,TA,Taylor Memorial,2016,115914
055,Thorncliffe Park,TH,Thorncliffe,2016,178515
058,Old East York,TOD,Todmorden Room,2016,53254
098,Rosedale-Moore Park,TRL,Toronto Reference Library,2016,420859
043,Victoria Village,VV,Victoria Village,2016,107811
113,Weston,WE,Weston,2016,135040
022,Humbermede,WP,Woodview Park,2016,69884
129,Agincourt North,WS,Woodside Square,2016,387621
096,Casa Loma,WY,Wychwood,2016,242999
095,Annex,YO,Yorkville,2016,302099
025,Glenfield-Jane Heights,YW,York Woods,2016,222393
002,Mount Olive-Silverstone-Jamestown,AB,Albion,2017,309631
120,Clairlea-Birchmount,ACD,Albert Campbell,2017,338066
020,Alderwood,AD,Alderwood,2017,158583
118,Tam O'Shanter-Sullivan,AG,Agincourt,2017,621226
039,Bedford Park-Nortown,AH,Armour Heights,2017,202628
090,Junction Area,AN,Annette Street,2017,250427
030,Brookhaven-Amesbury,AP,Amesbury Park,2017,55198
150,Fenside-Parkwoods,BB,Brookbanks,2017,161391
154,Oakdale-Beverley Heights,BC,Black Creek,2017,97368
157,Bendale South,BD,Bendale,2017,123592
063,The Beaches,BE,Beaches,2017,314024
032,Englemount-Lawrence,BF,Barbara Frum,2017,527513
083,Dufferin Grove,BL,Bloor/Gladstone,2017,388365
015,Kingsway South,BR,Brentwood,2017,433080
147,L'Amoreaux West,BRW,Bridlewood,2017,385501
146,Malvern East,BUR,Burrows Hall,2017,141431
123,Cliffcrest,CC,Cliffcrest,2017,142382
035,Westminster-Branson,CE,Centennial,2017,307111
141,Golfdale-Cedarbrae-Woburn,CED,Cedarbrae,2017,430830
170,Yonge-Bay Corridor,CH,City Hall,2017,299464
037,Willowdale West,CL,North York Central Library,2017,597896
080,Palmerston-Little Italy,CS,College/Shaw,2017,189415
064,Woodbine Corridor,DA,Danforth/Coxwell,2017,277410
042,Banbury-Don Mills,DM,Don Mills,2017,565703
155,Downsview,DO,Downsview,2017,201514
098,Rosedale-Moore Park,DP,Deer Park,2017,395781
054,O'Connor-Parkview,DR,Dawes Road,2017,186973
094,Wychwood,DT,Davenport,2017,119636
092,Corso Italia-Davenport,DU,Dufferin/St. Clair,2017,149156
158,Islington,EA,Eatonville,2017,501624
011,Eringate-Centennial-West Deane,EB,Elmbrook Park,2017,128037
110,Keelesdale-Eglinton West,EG,Evelyn Gregory,2017,67336
052,Bayview Village,EN,Ethennonnhawahstihnen',2017,455110
120,Clairlea-Birchmount,ES,Eglinton Square,2017,123786
102,Forest Hill North,FH,Forest Hill,2017,189387
165,Harbourfront-CityPlace,FO,Fort York,2017,221413
044,Flemingdon Park,FP,Flemingdon Park,2017,114744
047,Don Valley Village,FV,Fairview,2017,728426
065,Greenwood-Coxwell,GE,Gerrard/Ashdale,2017,177571
130,Milliken,GHP,Goldhawk Park,2017,226852
140,Guildwood,GW,Guildwood,2017,114626
016,Stonegate-Queensway,HB,Humber Bay,2017,167341
134,Highland Creek,HC,Highland Creek,2017,155735
048,Hillcrest Village,HIL,Hillcrest,2017,309418
087,High Park-Swansea,HP,High Park,2017,317578
021,Humber Summit,HS,Humber Summit,2017,36120
001,West Humber-Clairville,HW,Humberwood,2017,62989
089,Runnymede-Bloor West Village,JD,Jane/Dundas,2017,295469
070,South Riverdale,JO,Jones,2017,167736
025,Glenfield-Jane Heights,JS,Jane/Sheppard,2017,85026
125,Ionview,KE,Kennedy/Eglinton,2017,155073
019,Long Branch,LB,Long Branch,2017,128538
056,Leaside-Bennington,LE,Leaside,2017,348572
103,Lawrence Park South,LO,Locke,2017,352148
078,Kensington-Chinatown,LS,Lillian H. Smith,2017,352547
062,East End-Danforth,MA,Main Street,2017,248530
146,Malvern East,MAL,Malvern,2017,334069
107,Oakwood-Vaughan,MAS,Maria A. Shchuka,2017,211188
126,Dorset Park,MCG,McGregor Park,2017,176865
115,Mount Dennis,MD,Mount Dennis,2017,108609
160,Mimico-Queensway,MI,Mimico Centennial,2017,178966
