NBHDNo,NBHDName,TSNS 2020 Designation,Total - Income statistics for private households - 25% sample data,Median total income of private household in 2020 ($),Total - Income statistics for economic families in private households - 25% sample data,Median total income of economic family in 2020 ($),Participation rate,Employment rate,"Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data","No certificate, diploma or degree","No certificate, diploma or degree (%)",High (secondary) school diploma or equivalency certificate,High (secondary) school diploma or equivalency certificate (%),"Postsecondary certificate, diploma or degree","Postsecondary certificate, diploma or degree (%)"
161,Humber Bay Shores,Not an NIA or Emerging Neighbourhood,13330,85000,6190,111000,73.9,64.8,20900,1340,6.41,3670,17.56,15890,76.03
162,West Queen West,Not an NIA or Emerging Neighbourhood,7700,101000,3280,136000,81.9,75.7,12045,705,5.85,1785,14.82,9560,79.37
163,Fort York-Liberty Village,Not an NIA or Emerging Neighbourhood,12415,94000,4915,128000,86.7,79.3,18710,500,2.67,2195,11.73,16015,85.6
164,Wellington Place,Not an NIA or Emerging Neighbourhood,17070,90000,5210,138000,87.3,80.5,24440,415,1.7,2560,10.47,21470,87.85
165,Harbourfront-CityPlace,Not an NIA or Emerging Neighbourhood,16550,90000,6810,118000,84.0,75.4,26060,835,3.2,3020,11.59,22210,85.23
166,St Lawrence-East Bayfront-The Islands,Not an NIA or Emerging Neighbourhood,18795,87000,7745,124000,75.7,67.5,29010,1220,4.21,3965,13.67,23820,82.11
167,Church-Wellesley,Not an NIA or Emerging Neighbourhood,14670,60400,4425,96000,73.4,61.9,21420,830,3.87,3855,18.0,16740,78.15
168,Downtown Yonge East,Not an NIA or Emerging Neighbourhood,11055,69500,3770,112000,73.0,63.1,16640,715,4.3,2580,15.5,13345,80.2
169,Bay-Cloverhill,Not an NIA or Emerging Neighbourhood,10585,58400,3385,100000,65.4,55.6,15930,300,1.88,3240,20.34,12390,77.78
170,Yonge-Bay Corridor,Not an NIA or Emerging Neighbourhood,7465,68500,2810,100000,73.8,64.0,11675,315,2.7,1785,15.29,9580,82.06
171,Junction-Wallace Emerson,Not an NIA or Emerging Neighbourhood,10185,84000,6145,112000,69.8,60.0,20105,3980,19.8,4275,21.26,11850,58.94
172,Dovercourt Village,Not an NIA or Emerging Neighbourhood,5310,87000,3205,111000,67.7,58.4,11015,2065,18.75,2285,20.74,6665,60.51
173,North Toronto,Not an NIA or Emerging Neighbourhood,9430,70000,4040,96000,74.6,65.0,14570,795,5.46,2130,14.62,11645,79.92
174,South Eglinton-Davisville,Not an NIA or Emerging Neighbourhood,13180,80000,5880,109000,73.4,65.6,20545,900,4.38,2910,14.16,16745,81.5
